MAL_ID,Name,Score,Genres,Type,Premiered,Studios,Rating,Popularity
46,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.56,"Samurai, Historical, Drama, Shounen",Movie,Unknown,Gallop,R - 17+ (violence & profanity),2411
47,Akira,8.17,"Action, Military, Sci-Fi, Adventure, Horror, Supernatural, Seinen",Movie,Unknown,Tokyo Movie Shinsha,R+ - Mild Nudity,197
48,.hack//Sign,6.98,"Game, Sci-Fi, Adventure, Mystery, Magic, Fantasy",TV,Spring 2002,Bee Train,PG-13 - Teens 13 or older,940
49,Aa! Megami-sama!,7.32,"Comedy, Magic, Romance, Seinen, Supernatural",OVA,Unknown,AIC,PG-13 - Teens 13 or older,2360
50,Aa! Megami-sama! (TV),7.35,"Comedy, Supernatural, Magic, Romance, Seinen",TV,Winter 2005,AIC,PG-13 - Teens 13 or older,1083
51,Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",OVA,Unknown,Hal Film Maker,R+ - Mild Nudity,2419
52,Kidou Tenshi Angelic Layer,7.26,"Sci-Fi, Comedy, Sports, Drama, Shounen",TV,Spring 2001,Bones,PG-13 - Teens 13 or older,2232
53,Ai Yori Aoshi,7.14,"Harem, Slice of Life, Comedy, Drama, Romance",TV,Spring 2002,J.C.Staff,PG-13 - Teens 13 or older,1465
54,Appleseed (Movie),7.1,"Action, Military, Sci-Fi, Police, Drama, Mecha, Shounen",Movie,Unknown,Digital Frontier,R - 17+ (violence & profanity),1901
55,Arc the Lad,6.53,"Action, Adventure, Fantasy, Horror, Sci-Fi",TV,Spring 1999,Bee Train,R - 17+ (violence & profanity),4259
56,Avenger,5.91,"Adventure, Fantasy, Sci-Fi, Shounen",TV,Fall 2003,"Bee Train, Xebec",R - 17+ (violence & profanity),4073
57,Beck,8.31,"Comedy, Drama, Music, Shounen, Slice of Life",TV,Fall 2004,Madhouse,R - 17+ (violence & profanity),570
58,Blue Gender,7.05,"Adventure, Romance, Mecha, Military, Sci-Fi, Horror, Space, Drama",TV,Fall 1999,AIC,R+ - Mild Nudity,1886
59,Chobits,7.43,"Sci-Fi, Comedy, Drama, Romance, Ecchi, Seinen",TV,Spring 2002,Madhouse,PG-13 - Teens 13 or older,332
60,Chrno Crusade,7.66,"Action, Demons, Historical, Romance, Shounen, Supernatural",TV,Fall 2003,Gonzo,R - 17+ (violence & profanity),742
61,D.N.Angel,7.2,"Action, Comedy, Magic, Romance, Fantasy, School, Shoujo",TV,Spring 2003,Xebec,PG-13 - Teens 13 or older,891
62,D.C.: Da Capo,6.77,"Harem, Drama, Magic, Romance",TV,Summer 2003,"feel., Zexcs",PG-13 - Teens 13 or older,1852
63,DearS,6.62,"Sci-Fi, Harem, Comedy, Romance, Ecchi, Shounen",TV,Summer 2004,Daume,R+ - Mild Nudity,1146
64,Rozen Maiden,7.44,"Action, Comedy, Drama, Magic, Seinen",TV,Fall 2004,Nomad,PG-13 - Teens 13 or older,846
65,Rozen Maiden: Träumend,7.65,"Action, Comedy, Drama, Magic, Seinen",TV,Fall 2005,Nomad,PG-13 - Teens 13 or older,1479
66,Azumanga Daioh,7.98,"Slice of Life, Comedy, School",TV,Spring 2002,J.C.Staff,PG-13 - Teens 13 or older,554
67,Basilisk: Kouga Ninpou Chou,7.58,"Action, Adventure, Historical, Supernatural, Romance, Samurai, Fantasy",TV,Spring 2005,Gonzo,R - 17+ (violence & profanity),940
68,Black Cat (TV),7.38,"Sci-Fi, Adventure, Comedy, Super Power, Shounen",TV,Fall 2005,Gonzo,PG-13 - Teens 13 or older,622
69,Cluster Edge,6.35,"Action, Fantasy, Military, Sci-Fi",TV,Fall 2005,Sunrise,PG-13 - Teens 13 or older,5061
71,Full Metal Panic!,7.65,"Action, Military, Sci-Fi, Comedy, Mecha",TV,Winter 2002,Gonzo,R - 17+ (violence & profanity),322
72,Full Metal Panic? Fumoffu,8.07,"Action, Comedy, School",TV,Summer 2003,Kyoto Animation,PG-13 - Teens 13 or older,571
73,Full Metal Panic! The Second Raid,7.96,"Action, Military, Mecha",TV,Summer 2005,Kyoto Animation,R - 17+ (violence & profanity),639
74,Gakuen Alice,7.65,"Comedy, School, Shoujo, Super Power",TV,Fall 2004,Group TAC,G - All Ages,1640
75,Soukyuu no Fafner: Dead Aggressor,7.3,"Action, Drama, Mecha, Military, Sci-Fi",TV,Summer 2004,Xebec,PG-13 - Teens 13 or older,2523
76,Mahou Shoujo Lyrical Nanoha,7.42,"Action, Comedy, Drama, Magic, Super Power",TV,Fall 2004,Seven Arcs,PG-13 - Teens 13 or older,1550
77,Mahou Shoujo Lyrical Nanoha A's,7.99,"Action, Comedy, Drama, Magic, Super Power",TV,Fall 2005,Seven Arcs,PG-13 - Teens 13 or older,2075
79,Shuffle!,7.09,"Harem, Comedy, Drama, Magic, Romance, Ecchi, Fantasy, School, Seinen",TV,Summer 2005,Asread,R+ - Mild Nudity,600
80,Mobile Suit Gundam,7.78,"Action, Military, Sci-Fi, Space, Mecha",TV,Spring 1979,Sunrise,PG-13 - Teens 13 or older,1427
81,Mobile Suit Gundam: The 08th MS Team,8.03,"Adventure, Drama, Mecha, Military, Romance, Sci-Fi",OVA,Unknown,Sunrise,PG-13 - Teens 13 or older,1948
82,Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",OVA,Unknown,Sunrise,PG-13 - Teens 13 or older,2444
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,6.79,"Military, Sci-Fi, Drama, Romance, Mecha",Movie,Unknown,Sunrise,PG-13 - Teens 13 or older,4660
84,Mobile Suit Gundam 0083: Stardust Memory,7.3,"Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",OVA,Unknown,Sunrise,PG-13 - Teens 13 or older,2791
85,Mobile Suit Zeta Gundam,7.92,"Military, Sci-Fi, Space, Drama, Romance, Mecha",TV,Spring 1985,Sunrise,PG-13 - Teens 13 or older,2159
86,Mobile Suit Gundam ZZ,6.66,"Space, Comedy, Mecha, Military, Drama, Sci-Fi",TV,Spring 1986,Sunrise,PG-13 - Teens 13 or older,2941
87,Mobile Suit Gundam: Char's Counterattack,7.68,"Military, Sci-Fi, Space, Drama, Mecha",Movie,Unknown,"Sunrise, Studio Hibari",PG-13 - Teens 13 or older,2773
88,Mobile Suit Gundam F91,6.67,"Drama, Mecha, Military, Sci-Fi, Space",Movie,Unknown,Sunrise,PG-13 - Teens 13 or older,3387
89,Mobile Suit Victory Gundam,6.76,"Drama, Mecha, Military, Sci-Fi, Space",TV,Spring 1993,"Sunrise, Studio Deen",PG-13 - Teens 13 or older,3588
90,Mobile Suit Gundam Wing,7.72,"Action, Military, Sci-Fi, Space, Drama, Mecha",TV,Spring 1995,Sunrise,PG-13 - Teens 13 or older,1118
91,Mobile Suit Gundam Wing: Endless Waltz,7.76,"Action, Drama, Mecha, Military, Sci-Fi, Space",OVA,Unknown,Sunrise,PG-13 - Teens 13 or older,2512
92,After War Gundam X,7.32,"Sci-Fi, Adventure, Space, Drama, Mecha",TV,Spring 1996,Sunrise,PG-13 - Teens 13 or older,3043
93,Mobile Suit Gundam SEED,7.79,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,Fall 2002,Sunrise,R - 17+ (violence & profanity),1057
94,Mobile Suit Gundam SEED Destiny,7.22,"Action, Drama, Mecha, Military, Romance, Sci-Fi, Space",TV,Fall 2004,Sunrise,R - 17+ (violence & profanity),1530
95,Turn A Gundam,7.7,"Action, Military, Sci-Fi, Adventure, Space, Drama, Romance, Mecha",TV,Spring 1999,"Sunrise, Nakamura Production",PG-13 - Teens 13 or older,2714
96,Mobile Fighter G Gundam,7.56,"Adventure, Comedy, Drama, Martial Arts, Mecha, Romance, Sci-Fi, Space, Sports",TV,Spring 1994,Sunrise,PG-13 - Teens 13 or older,2109
97,Last Exile,7.82,"Action, Sci-Fi, Adventure",TV,Spring 2003,Gonzo,PG-13 - Teens 13 or older,995
98,Mai-HiME,7.46,"Action, Comedy, Drama, Fantasy, Magic, Mecha, Romance, School, Shoujo Ai",TV,Fall 2004,Sunrise,PG-13 - Teens 13 or older,1381
99,Mai-Otome,7.31,"Comedy, Drama, Fantasy, Magic",TV,Fall 2005,Sunrise,PG-13 - Teens 13 or older,2370
100,Shin Shirayuki-hime Densetsu Prétear,7.2,"Comedy, Drama, Fantasy, Magic, Romance, Shoujo, Super Power",TV,Spring 2001,Hal Film Maker,PG-13 - Teens 13 or older,2162
101,Air,7.32,"Slice of Life, Supernatural, Drama, Romance",TV,Winter 2005,Kyoto Animation,PG-13 - Teens 13 or older,563
102,Aishiteruze Baby★★,7.48,"Comedy, Drama, Romance, Shoujo",TV,Spring 2004,TMS Entertainment,PG-13 - Teens 13 or older,1529
103,Akazukin Chacha,7.39,"Adventure, Comedy, Fantasy, Magic, Romance, Shoujo",TV,Winter 1994,Gallop,G - All Ages,4551
104,Ayashi no Ceres,7.23,"Adventure, Comedy, Horror, Psychological, Supernatural, Drama, Romance, Shoujo",TV,Spring 2000,Studio Pierrot,R - 17+ (violence & profanity),2182
105,Boys Be...,6.46,"Slice of Life, Comedy, Romance, Shounen",TV,Spring 2000,Hal Film Maker,PG-13 - Teens 13 or older,3665
106,Hana yori Dango,7.7,"Drama, Romance, School, Shoujo",TV,Fall 1996,Toei Animation,PG-13 - Teens 13 or older,2293
107,Ou Dorobou Jing,7.23,"Adventure, Comedy, Fantasy, Sci-Fi, Shounen",TV,Spring 2002,Studio Deen,PG-13 - Teens 13 or older,2817
108,Ou Dorobou Jing in Seventh Heaven,7.29,"Adventure, Fantasy, Psychological, Comedy, Shounen",OVA,Unknown,Studio Deen,PG-13 - Teens 13 or older,4619
109,Bakuretsu Tenshi,6.81,"Adventure, Comedy, Mecha, Sci-Fi",TV,Spring 2004,Gonzo,PG-13 - Teens 13 or older,1965
110,Chuuka Ichiban!,7.63,"Action, Comedy, Drama, Shounen",TV,Spring 1997,Nippon Animation,PG-13 - Teens 13 or older,4086
111,Corrector Yui,6.83,"Sci-Fi, Adventure, Comedy, Magic",TV,Spring 1999,Nippon Animation,PG - Children,4519
112,Chou Henshin Cosprayers,4.95,"Action, Ecchi, Adventure, Fantasy, Magic, Comedy, Super Power, Sci-Fi",TV,Winter 2004,"Imagin, Studio Live",PG-13 - Teens 13 or older,5542
113,Uchuu no Stellvia,7.38,"Action, Mecha, Romance, Sci-Fi, Space",TV,Spring 2003,Xebec,PG-13 - Teens 13 or older,3577
114,Sakigake!! Cromartie Koukou,7.93,"Comedy, School, Shounen",TV,Fall 2003,Production I.G,PG-13 - Teens 13 or older,1279
115,El Hazard: The Alternative World,6.83,"Adventure, Comedy, Fantasy",TV,Winter 1998,AIC,PG-13 - Teens 13 or older,4961
116,El Hazard: The Wanderers,6.97,"Adventure, Comedy, Romance, Fantasy",TV,Fall 1995,AIC,PG-13 - Teens 13 or older,4198
117,El Hazard: The Magnificent World,7.32,"Adventure, Comedy, Romance, Fantasy",OVA,Unknown,AIC,PG-13 - Teens 13 or older,4129
118,El Hazard 2: The Magnificent World,6.85,"Adventure, Comedy, Fantasy",OVA,Unknown,AIC,PG-13 - Teens 13 or older,5421
119,Final Approach,6.56,"Comedy, Drama, Romance, Slice of Life",TV,Fall 2004,Zexcs,PG-13 - Teens 13 or older,2887
120,Fruits Basket,7.69,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo",TV,Summer 2001,Studio Deen,PG-13 - Teens 13 or older,314
121,Fullmetal Alchemist,8.17,"Action, Adventure, Comedy, Drama, Fantasy, Magic, Military, Shounen",TV,Fall 2003,Bones,PG-13 - Teens 13 or older,52
122,Full Moon wo Sagashite,7.96,"Music, Comedy, Supernatural, Drama, Romance, Shoujo",TV,Spring 2002,Studio Deen,PG-13 - Teens 13 or older,1519
123,Fushigi Yuugi,7.64,"Adventure, Fantasy, Magic, Martial Arts, Comedy, Romance, Historical, Drama, Shoujo",TV,Spring 1995,Studio Pierrot,PG-13 - Teens 13 or older,1434
124,Fushigi Yuugi: Eikouden,6.86,"Adventure, Fantasy, Romance, Drama, Shoujo",OVA,Unknown,Studio Pierrot,PG-13 - Teens 13 or older,4101
125,Futakoi,6.49,"Comedy, Romance, School",TV,Fall 2004,Telecom Animation Film,PG-13 - Teens 13 or older,2900
126,Futakoi Alternative,6.91,"Comedy, Drama, Romance",TV,Spring 2005,"ufotable, feel., Studio Flag",PG-13 - Teens 13 or older,3071
127,Gate Keepers,6.96,"Action, Sci-Fi, Comedy, Fantasy, Mecha, Shounen",TV,Spring 2000,Gonzo,PG-13 - Teens 13 or older,3717
128,Gate Keepers 21,6.79,"Action, Drama, Mecha, Sci-Fi, Shounen",OVA,Unknown,Gonzo,PG-13 - Teens 13 or older,5026
129,Gensoumaden Saiyuuki,7.59,"Action, Adventure, Comedy, Demons, Drama, Shounen, Supernatural",TV,Spring 2000,Studio Pierrot,R - 17+ (violence & profanity),2359
130,Saiyuuki Reload,7.41,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,Fall 2003,Studio Pierrot,PG-13 - Teens 13 or older,3071
131,Saiyuuki Reload Gunlock,7.42,"Action, Adventure, Comedy, Demons, Drama, Josei, Supernatural",TV,Spring 2004,Studio Pierrot,PG-13 - Teens 13 or older,3724
132,GetBackers,7.61,"Action, Comedy, Drama, Mystery, Shounen, Super Power, Supernatural",TV,Fall 2002,Studio Deen,PG-13 - Teens 13 or older,1339
133,Green Green,6.21,"Comedy, Ecchi, Romance, School, Slice of Life",TV,Summer 2003,Studio Matrix,R+ - Mild Nudity,1333
134,Gunslinger Girl,7.42,"Action, Psychological, Military, Drama, Sci-Fi",TV,Fall 2003,Madhouse,R - 17+ (violence & profanity),920
135,Hikaru no Go,8.11,"Comedy, Game, Shounen, Supernatural",TV,Fall 2001,Studio Pierrot,PG-13 - Teens 13 or older,1287
136,Hunter x Hunter,8.42,"Action, Adventure, Super Power, Fantasy, Shounen",TV,Fall 1999,Nippon Animation,PG-13 - Teens 13 or older,319
137,Hunter x Hunter: Original Video Animation,8.33,"Action, Adventure, Super Power, Shounen",OVA,Unknown,Nippon Animation,PG-13 - Teens 13 or older,1375
138,Hunter x Hunter: Greed Island,8.21,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,Unknown,Nippon Animation,PG-13 - Teens 13 or older,1244
139,Hunter x Hunter: Greed Island Final,8.29,"Action, Adventure, Super Power, Fantasy, Shounen",OVA,Unknown,Nippon Animation,PG-13 - Teens 13 or older,1288
141,Jinki:Extend,6.14,"Mecha, Sci-Fi",TV,Winter 2005,feel.,R - 17+ (violence & profanity),4923
142,Kamikaze Kaitou Jeanne,7.45,"Adventure, Comedy, Demons, Drama, Fantasy, Magic, Mystery, Romance, Shoujo",TV,Winter 1999,Toei Animation,PG-13 - Teens 13 or older,2363
143,Kannazuki no Miko,6.87,"Supernatural, Drama, Magic, Romance, Mecha, Shounen, Shoujo Ai",TV,Fall 2004,TNK,PG-13 - Teens 13 or older,2000
144,Kanon,7.11,"Drama, Romance, Slice of Life, Supernatural",TV,Winter 2002,Toei Animation,G - All Ages,2105
145,Kareshi Kanojo no Jijou,7.61,"Comedy, Drama, Romance, School, Shoujo, Slice of Life",TV,Fall 1998,"Gainax, J.C.Staff",PG-13 - Teens 13 or older,875
146,Kono Minikuku mo Utsukushii Sekai,6.76,"Sci-Fi, Comedy, Drama, Magic, Romance, Ecchi",TV,Spring 2004,"Gainax, Shaft",R+ - Mild Nudity,2145
147,Kimi ga Nozomu Eien,7.24,"Drama, Romance, Slice of Life",TV,Fall 2003,Studio Fantasia,R+ - Mild Nudity,1187
148,Kita e.: Diamond Dust Drops,6.62,"Drama, Romance, Slice of Life",TV,Winter 2004,Studio Deen,PG-13 - Teens 13 or older,5411
149,Loveless,6.86,"Action, Mystery, Supernatural, Drama, Romance, Fantasy, Josei, Shounen Ai",TV,Spring 2005,J.C.Staff,PG-13 - Teens 13 or older,1215
150,Blood+,7.66,"Action, Military, Mystery, Horror, Supernatural, Drama, Vampire",TV,Fall 2005,Production I.G,R - 17+ (violence & profanity),431
151,Re: Cutey Honey,7.12,"Action, Sci-Fi, Comedy, Ecchi, Shoujo Ai",OVA,Unknown,"Gainax, Toei Animation",R+ - Mild Nudity,3430
152,Solty Rei,7.28,"Action, Sci-Fi, Super Power",TV,Fall 2005,Gonzo,R - 17+ (violence & profanity),3233
153,Juuni Kokuki,8.06,"Action, Adventure, Fantasy, Magic, Supernatural",TV,Spring 2002,Studio Pierrot,PG-13 - Teens 13 or older,1266
154,Shaman King,7.78,"Action, Adventure, Comedy, Super Power, Supernatural, Shounen",TV,Summer 2001,Xebec,PG-13 - Teens 13 or older,477
155,X/1999,6.59,"Action, Drama, Fantasy, Horror, Magic, Sci-Fi, Supernatural",Movie,Unknown,Madhouse,R - 17+ (violence & profanity),2904
156,X,7.43,"Action, Super Power, Drama, Magic, Romance, Fantasy, Shoujo",TV,Fall 2001,Madhouse,R+ - Mild Nudity,1818
157,Mahou Sensei Negima!,6.98,"Comedy, Ecchi, Fantasy, Harem, Magic, Romance, School, Shounen, Super Power, Supernatural",TV,Winter 2005,Xebec,PG-13 - Teens 13 or older,1208
158,Maria-sama ga Miteru,7.34,"Slice of Life, Drama, Romance, Shoujo, Shoujo Ai",TV,Winter 2004,Studio Deen,PG-13 - Teens 13 or older,2170
159,Boukyaku no Senritsu,6.34,"Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural",TV,Spring 2004,"Gainax, J.C.Staff",PG-13 - Teens 13 or older,3975
160,"Ima, Soko ni Iru Boku",7.66,"Adventure, Drama, Fantasy, Military, Sci-Fi",TV,Fall 1999,AIC,R - 17+ (violence & profanity),1309
161,Peace Maker Kurogane,7.33,"Action, Comedy, Historical, Samurai, Shounen",TV,Fall 2003,Gonzo,R - 17+ (violence & profanity),2251
162,Pita Ten,6.94,"Comedy, Fantasy, Kids, Romance, School, Shounen",TV,Spring 2002,Madhouse,G - All Ages,3626
163,Power Stone,6.48,"Adventure, Comedy, Fantasy, Historical, Shounen",TV,Spring 1999,Studio Pierrot,PG - Children,5874
164,Mononoke Hime,8.72,"Action, Adventure, Fantasy",Movie,Unknown,Studio Ghibli,PG-13 - Teens 13 or older,91
165,RahXephon,7.42,"Action, Drama, Mecha, Music, Mystery, Psychological, Romance, Sci-Fi",TV,Winter 2002,Bones,PG-13 - Teens 13 or older,1395
166,Samurai 7,7.48,"Historical, Mecha, Samurai, Sci-Fi",TV,Summer 2004,Gonzo,PG-13 - Teens 13 or older,1295
167,Scrapped Princess,7.41,"Sci-Fi, Adventure, Comedy, Drama, Fantasy, Mecha, Shounen",TV,Spring 2003,Bones,PG-13 - Teens 13 or older,1637
168,s.CRY.ed,7.38,"Action, Sci-Fi, Adventure, Super Power, Drama",TV,Summer 2001,Sunrise,PG-13 - Teens 13 or older,1787
169,Shingetsutan Tsukihime,6.91,"Action, Horror, Mystery, Romance, Super Power, Supernatural, Vampire",TV,Fall 2003,J.C.Staff,R - 17+ (violence & profanity),1086
170,Slam Dunk,8.53,"Comedy, Drama, School, Shounen, Sports",TV,Fall 1993,Toei Animation,PG-13 - Teens 13 or older,728
171,Strange Dawn,6.35,"Adventure, Drama, Fantasy",TV,Summer 2000,Hal Film Maker,PG - Children,7014
173,Tactics,7.23,"Mystery, Comedy, Historical, Demons, Supernatural, Drama, Shounen",TV,Fall 2004,Studio Deen,PG-13 - Teens 13 or older,2670
174,Tenjou Tenge,6.93,"Action, Ecchi, Martial Arts, Comedy, Super Power, School, Shounen",TV,Spring 2004,Madhouse,R - 17+ (violence & profanity),934
175,Tokyo Underground,6.63,"Action, Adventure, Romance, Sci-Fi, Shounen, Super Power",TV,Spring 2002,Studio Pierrot,PG-13 - Teens 13 or older,3254
176,Triangle Heart: Sweet Songs Forever,6.19,"Adventure, Romance",OVA,Unknown,Seven Arcs,PG-13 - Teens 13 or older,5991
177,Tsubasa Chronicle,7.55,"Action, Adventure, Fantasy, Magic, Romance, Supernatural, Shounen",TV,Spring 2005,Bee Train,PG-13 - Teens 13 or older,759
178,Ultra Maniac,7.18,"Comedy, Magic, Romance, School, Shoujo",TV,Spring 2003,Production Reed,G - All Ages,3103
179,Ultra Maniac OVA,6.69,"Comedy, Magic, Romance, School",OVA,Unknown,Production Reed,G - All Ages,6509
180,Vandread,7.21,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",TV,Fall 2000,Gonzo,PG-13 - Teens 13 or older,1771
181,Vandread: The Second Stage,7.42,"Action, Ecchi, Mecha, Sci-Fi, Shounen, Space",TV,Fall 2001,Gonzo,PG-13 - Teens 13 or older,2326
182,Tenkuu no Escaflowne,7.7,"Adventure, Psychological, Romance, Fantasy, Mecha",TV,Spring 1996,Sunrise,PG-13 - Teens 13 or older,1157
183,Whistle!,7.39,"School, Shounen, Sports",TV,Spring 2002,Studio Comet,G - All Ages,4545
184,Xenosaga The Animation,6.37,"Action, Mecha, Sci-Fi, Shounen, Space",TV,Winter 2005,Toei Animation,PG-13 - Teens 13 or older,3838
185,Initial D First Stage,8.29,"Action, Cars, Drama, Seinen, Sports",TV,Spring 1998,"Gallop, Studio Comet",PG-13 - Teens 13 or older,638
186,Initial D Second Stage,8.12,"Action, Cars, Drama, Seinen, Sports",TV,Fall 1999,Pastel,PG-13 - Teens 13 or older,1095
187,Initial D Third Stage,7.89,"Action, Cars, Sports, Drama, Romance, Seinen",Movie,Unknown,Studio Deen,PG-13 - Teens 13 or older,1270
188,Gosenzo San'e,6.11,"Comedy, Hentai, Mystery, Supernatural",OVA,Unknown,Unknown,Rx - Hentai,8469
189,Love Hina,7.14,"Comedy, Ecchi, Harem, Romance, Shounen, Slice of Life",TV,Spring 2000,Xebec,PG-13 - Teens 13 or older,645
190,Love Hina Again,7.25,"Comedy, Drama, Ecchi, Romance, Shounen",OVA,Unknown,Xebec,PG-13 - Teens 13 or older,1715
191,Love Hina Christmas Special: Silent Eve,7.34,"Slice of Life, Comedy, Romance",Special,Unknown,Xebec,PG-13 - Teens 13 or older,2177
192,Love Hina Haru Special: Kimi Sakura Chiru Nakare!!,7.21,"Adventure, Comedy, Romance",Special,Unknown,Xebec,PG-13 - Teens 13 or older,2307
193,Maburaho,6.8,"Comedy, Drama, Ecchi, Harem, Magic, Romance, School",TV,Fall 2003,J.C.Staff,R+ - Mild Nudity,1583
194,Macross Zero,7.55,"Adventure, Mecha, Military, Sci-Fi, Shounen",OVA,Unknown,Satelight,R+ - Mild Nudity,2809
195,Onegai☆Teacher,7.17,"Sci-Fi, Comedy, Drama, Romance, School",TV,Winter 2002,Daume,PG-13 - Teens 13 or older,1008
196,Onegai☆Twins,6.88,"Comedy, Drama, Harem, School, Sci-Fi",TV,Summer 2003,Daume,PG-13 - Teens 13 or older,1699
197,Rizelmine,6.55,"Sci-Fi, Comedy, Romance, Ecchi, School",TV,Spring 2002,"Madhouse, Imagin",R+ - Mild Nudity,3495
198,Speed Grapher,7.35,"Action, Mystery, Super Power",TV,Spring 2005,Gonzo,R+ - Mild Nudity,1458
199,Sen to Chihiro no Kamikakushi,8.83,"Adventure, Supernatural, Drama",Movie,Unknown,Studio Ghibli,PG - Children,41
200,Tenshi na Konamaiki,7.48,"Comedy, Magic, Romance, Shounen",TV,Spring 2002,TMS Entertainment,PG-13 - Teens 13 or older,3426
201,Video Girl Ai,7.21,"Comedy, Drama, Ecchi, Romance",OVA,Unknown,Production I.G,R+ - Mild Nudity,3409
